#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1912936,64690277,F5147DRAFT_101009,F5147DRAFT_101009,-,-,Unknown,-,tRNA-guanine(15) transglycosylase-like protein,protein-coding,-,-,-,tRNA-guanine(15) transglycosylase-like protein,20210605,-
1912936,64694774,F5147DRAFT_615058,F5147DRAFT_615058,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694775,F5147DRAFT_615065,F5147DRAFT_615065,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694776,F5147DRAFT_615067,F5147DRAFT_615067,-,-,Unknown,-,OPT oligopeptide transporter protein-domain-containing protein,protein-coding,-,-,-,OPT oligopeptide transporter protein-domain-containing protein,20210605,-
1912936,64694777,F5147DRAFT_615080,F5147DRAFT_615080,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694778,F5147DRAFT_615090,F5147DRAFT_615090,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694779,F5147DRAFT_615201,F5147DRAFT_615201,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694780,F5147DRAFT_615286,F5147DRAFT_615286,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694781,F5147DRAFT_615351,F5147DRAFT_615351,-,-,Unknown,-,clathrin light chain-domain-containing protein,protein-coding,-,-,-,clathrin light chain-domain-containing protein,20210605,-
1912936,64694782,F5147DRAFT_61540,F5147DRAFT_61540,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694783,F5147DRAFT_615490,F5147DRAFT_615490,-,-,Unknown,-,sugar transporter,protein-coding,-,-,-,sugar transporter,20210605,-
1912936,64694784,F5147DRAFT_615522,F5147DRAFT_615522,-,-,Unknown,-,RmlC-like cupin domain-containing protein,protein-coding,-,-,-,RmlC-like cupin domain-containing protein,20210605,-
1912936,64694785,F5147DRAFT_615533,F5147DRAFT_615533,-,-,Unknown,-,putative aminoadipate reductase,protein-coding,-,-,-,putative aminoadipate reductase,20210605,-
1912936,64694786,F5147DRAFT_615633,F5147DRAFT_615633,-,-,Unknown,-,GPI biosynthesis protein family Pig-F-domain-containing protein,protein-coding,-,-,-,GPI biosynthesis protein family Pig-F-domain-containing protein,20210605,-
1912936,64694787,F5147DRAFT_615772,F5147DRAFT_615772,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694788,F5147DRAFT_615811,F5147DRAFT_615811,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694789,F5147DRAFT_615845,F5147DRAFT_615845,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694790,F5147DRAFT_615876,F5147DRAFT_615876,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694791,F5147DRAFT_615986,F5147DRAFT_615986,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694792,F5147DRAFT_616063,F5147DRAFT_616063,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694793,F5147DRAFT_616121,F5147DRAFT_616121,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694794,F5147DRAFT_616149,F5147DRAFT_616149,-,-,Unknown,-,dihydroxy-acid/6-phosphogluconate dehydratase,protein-coding,-,-,-,dihydroxy-acid/6-phosphogluconate dehydratase,20210605,-
1912936,64694795,F5147DRAFT_61628,F5147DRAFT_61628,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694796,F5147DRAFT_616381,F5147DRAFT_616381,-,-,Unknown,-,terpenoid synthase,protein-coding,-,-,-,terpenoid synthase,20210605,-
1912936,64694797,F5147DRAFT_616394,F5147DRAFT_616394,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694798,F5147DRAFT_616417,F5147DRAFT_616417,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912936,64694799,F5147DRAFT_616475,F5147DRAFT_616475,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694800,F5147DRAFT_616500,F5147DRAFT_616500,-,-,Unknown,-,tRNA synthetases class I (C) catalytic domain-containing protein,protein-coding,-,-,-,tRNA synthetases class I (C) catalytic domain-containing protein,20210605,-
1912936,64694801,F5147DRAFT_616504,F5147DRAFT_616504,-,-,Unknown,-,Gti1/Pac2 family-domain-containing protein,protein-coding,-,-,-,Gti1/Pac2 family-domain-containing protein,20210605,-
1912936,64694802,F5147DRAFT_616508,F5147DRAFT_616508,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694803,F5147DRAFT_616535,F5147DRAFT_616535,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694804,F5147DRAFT_616591,F5147DRAFT_616591,-,-,Unknown,-,endochitinase,protein-coding,-,-,-,endochitinase,20210605,-
1912936,64694805,F5147DRAFT_616641,F5147DRAFT_616641,-,-,Unknown,-,zinc knuckle-domain-containing protein,protein-coding,-,-,-,zinc knuckle-domain-containing protein,20210605,-
1912936,64694806,F5147DRAFT_616646,F5147DRAFT_616646,-,-,Unknown,-,amino acid transporter,protein-coding,-,-,-,amino acid transporter,20210605,-
1912936,64694807,F5147DRAFT_616827,F5147DRAFT_616827,-,-,Unknown,-,ribosome biogenesis protein tsr1,protein-coding,-,-,-,ribosome biogenesis protein tsr1,20210605,-
1912936,64694808,F5147DRAFT_616857,F5147DRAFT_616857,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694809,F5147DRAFT_616887,F5147DRAFT_616887,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694810,F5147DRAFT_616917,F5147DRAFT_616917,-,-,Unknown,-,isoprenoid synthase domain-containing protein,protein-coding,-,-,-,isoprenoid synthase domain-containing protein,20210605,-
1912936,64694811,F5147DRAFT_616937,F5147DRAFT_616937,-,-,Unknown,-,mitochondrial import translocase subunit Tom22,protein-coding,-,-,-,mitochondrial import translocase subunit Tom22,20210605,-
1912936,64694812,F5147DRAFT_616947,F5147DRAFT_616947,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64694813,F5147DRAFT_616958,F5147DRAFT_616958,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64694814,F5147DRAFT_617225,F5147DRAFT_617225,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694815,F5147DRAFT_617277,F5147DRAFT_617277,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694816,F5147DRAFT_617332,F5147DRAFT_617332,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694817,F5147DRAFT_617525,F5147DRAFT_617525,-,-,Unknown,-,Clavaminate synthase-like protein,protein-coding,-,-,-,Clavaminate synthase-like protein,20210605,-
1912936,64694818,F5147DRAFT_617698,F5147DRAFT_617698,-,-,Unknown,-,S-adenosyl-L-methionine-dependent methyltransferase,protein-coding,-,-,-,S-adenosyl-L-methionine-dependent methyltransferase,20210605,-
1912936,64694819,F5147DRAFT_617794,F5147DRAFT_617794,-,-,Unknown,-,TvLac7,protein-coding,-,-,-,TvLac7,20210605,-
1912936,64694820,F5147DRAFT_617893,F5147DRAFT_617893,-,-,Unknown,-,RNA polymerase I-associated factor PAF67-domain-containing protein,protein-coding,-,-,-,RNA polymerase I-associated factor PAF67-domain-containing protein,20210605,-
1912936,64694821,F5147DRAFT_617909,F5147DRAFT_617909,-,-,Unknown,-,heme peroxidase,protein-coding,-,-,-,heme peroxidase,20210605,-
1912936,64694822,F5147DRAFT_617963,F5147DRAFT_617963,-,-,Unknown,-,proline-specific peptidase,protein-coding,-,-,-,proline-specific peptidase,20210605,-
1912936,64694823,F5147DRAFT_617995,F5147DRAFT_617995,-,-,Unknown,-,glycoside hydrolase family 18 protein,protein-coding,-,-,-,glycoside hydrolase family 18 protein,20210605,-
1912936,64694824,F5147DRAFT_618052,F5147DRAFT_618052,-,-,Unknown,-,heat shock protein 70 family,protein-coding,-,-,-,heat shock protein 70 family,20210605,-
1912936,64694825,F5147DRAFT_618140,F5147DRAFT_618140,-,-,Unknown,-,cytochrome P450,protein-coding,-,-,-,cytochrome P450,20210605,-
1912936,64694826,F5147DRAFT_618156,F5147DRAFT_618156,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64694827,F5147DRAFT_618210,F5147DRAFT_618210,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694828,F5147DRAFT_618215,F5147DRAFT_618215,-,-,Unknown,-,amidase signature domain-containing protein,protein-coding,-,-,-,amidase signature domain-containing protein,20210605,-
1912936,64694829,F5147DRAFT_618250,F5147DRAFT_618250,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694830,F5147DRAFT_618274,F5147DRAFT_618274,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694831,F5147DRAFT_618292,F5147DRAFT_618292,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694832,F5147DRAFT_618346,F5147DRAFT_618346,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694833,F5147DRAFT_618406,F5147DRAFT_618406,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694834,F5147DRAFT_618481,F5147DRAFT_618481,-,-,Unknown,-,chaperonin 10-like protein,protein-coding,-,-,-,chaperonin 10-like protein,20210605,-
1912936,64694835,F5147DRAFT_618565,F5147DRAFT_618565,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694836,F5147DRAFT_618678,F5147DRAFT_618678,-,-,Unknown,-,Pre protein translocase Sec Sec61-beta subunit,protein-coding,-,-,-,Pre protein translocase Sec Sec61-beta subunit,20210605,-
1912936,64694837,F5147DRAFT_618722,F5147DRAFT_618722,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694838,F5147DRAFT_618769,F5147DRAFT_618769,-,-,Unknown,-,N-terminal C2 in EEIG1 and EHBP1 proteins-domain-containing protein,protein-coding,-,-,-,N-terminal C2 in EEIG1 and EHBP1 proteins-domain-containing protein,20210605,-
1912936,64694839,F5147DRAFT_618836,F5147DRAFT_618836,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694840,F5147DRAFT_618881,F5147DRAFT_618881,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694841,F5147DRAFT_618915,F5147DRAFT_618915,-,-,Unknown,-,SMAD/FHA domain-containing protein,protein-coding,-,-,-,SMAD/FHA domain-containing protein,20210605,-
1912936,64694842,F5147DRAFT_619030,F5147DRAFT_619030,-,-,Unknown,-,RTA1 like protein-domain-containing protein,protein-coding,-,-,-,RTA1 like protein-domain-containing protein,20210605,-
1912936,64694843,F5147DRAFT_619038,F5147DRAFT_619038,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64694844,F5147DRAFT_619257,F5147DRAFT_619257,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694845,F5147DRAFT_619321,F5147DRAFT_619321,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694846,F5147DRAFT_619367,F5147DRAFT_619367,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694847,F5147DRAFT_619517,F5147DRAFT_619517,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694848,F5147DRAFT_619558,F5147DRAFT_619558,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694849,F5147DRAFT_619562,F5147DRAFT_619562,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694850,F5147DRAFT_619633,F5147DRAFT_619633,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694851,F5147DRAFT_619635,F5147DRAFT_619635,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694852,F5147DRAFT_619664,F5147DRAFT_619664,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694853,F5147DRAFT_619696,F5147DRAFT_619696,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694854,F5147DRAFT_619706,F5147DRAFT_619706,-,-,Unknown,-,isoprenoid synthase domain-containing protein,protein-coding,-,-,-,isoprenoid synthase domain-containing protein,20210605,-
1912936,64694855,F5147DRAFT_619722,F5147DRAFT_619722,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694856,F5147DRAFT_619738,F5147DRAFT_619738,-,-,Unknown,-,histidine phosphatase superfamily,protein-coding,-,-,-,histidine phosphatase superfamily,20210605,-
1912936,64694857,F5147DRAFT_619790,F5147DRAFT_619790,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694858,F5147DRAFT_619830,F5147DRAFT_619830,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694859,F5147DRAFT_620027,F5147DRAFT_620027,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912936,64694860,F5147DRAFT_620166,F5147DRAFT_620166,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694861,F5147DRAFT_620183,F5147DRAFT_620183,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694862,F5147DRAFT_620213,F5147DRAFT_620213,-,-,Unknown,-,putative cyclase,protein-coding,-,-,-,putative cyclase,20210605,-
1912936,64694863,F5147DRAFT_620217,F5147DRAFT_620217,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694864,F5147DRAFT_620328,F5147DRAFT_620328,-,-,Unknown,-,general substrate transporter,protein-coding,-,-,-,general substrate transporter,20210605,-
1912936,64694865,F5147DRAFT_620330,F5147DRAFT_620330,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694866,F5147DRAFT_620460,F5147DRAFT_620460,-,-,Unknown,-,P-loop containing nucleoside triphosphate hydrolase protein,protein-coding,-,-,-,P-loop containing nucleoside triphosphate hydrolase protein,20210605,-
1912936,64694867,F5147DRAFT_620482,F5147DRAFT_620482,-,-,Unknown,-,CobB/CobQ-like glutamine amidotransferase domain-containing protein,protein-coding,-,-,-,CobB/CobQ-like glutamine amidotransferase domain-containing protein,20210605,-
1912936,64694868,F5147DRAFT_620521,F5147DRAFT_620521,-,-,Unknown,-,cytosine-purine permease,protein-coding,-,-,-,cytosine-purine permease,20210605,-
1912936,64694869,F5147DRAFT_620561,F5147DRAFT_620561,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912936,64694870,F5147DRAFT_620608,F5147DRAFT_620608,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694871,F5147DRAFT_620618,F5147DRAFT_620618,-,-,Unknown,-,RNA polymerase III subunit Rpc25-domain-containing protein,protein-coding,-,-,-,RNA polymerase III subunit Rpc25-domain-containing protein,20210605,-
1912936,64694872,F5147DRAFT_620678,F5147DRAFT_620678,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694873,F5147DRAFT_620772,F5147DRAFT_620772,-,-,Unknown,-,26S proteasome subunit RPN7-domain-containing protein,protein-coding,-,-,-,26S proteasome subunit RPN7-domain-containing protein,20210605,-
1912936,64694874,F5147DRAFT_620776,F5147DRAFT_620776,-,-,Unknown,-,P60-like protein,protein-coding,-,-,-,P60-like protein,20210605,-
1912936,64694875,F5147DRAFT_620836,F5147DRAFT_620836,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694876,F5147DRAFT_620882,F5147DRAFT_620882,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694877,F5147DRAFT_620917,F5147DRAFT_620917,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64694878,F5147DRAFT_620990,F5147DRAFT_620990,-,-,Unknown,-,class II aldolase/adducin N-terminal,protein-coding,-,-,-,class II aldolase/adducin N-terminal,20210605,-
1912936,64694879,F5147DRAFT_621161,F5147DRAFT_621161,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694880,F5147DRAFT_621184,F5147DRAFT_621184,-,-,Unknown,-,major facilitator superfamily domain-containing protein,protein-coding,-,-,-,major facilitator superfamily domain-containing protein,20210605,-
1912936,64694881,F5147DRAFT_621207,F5147DRAFT_621207,-,-,Unknown,-,Mdm33 family-domain-containing protein,protein-coding,-,-,-,Mdm33 family-domain-containing protein,20210605,-
1912936,64694882,F5147DRAFT_621264,F5147DRAFT_621264,-,-,Unknown,-,WD40-repeat-containing domain protein,protein-coding,-,-,-,WD40-repeat-containing domain protein,20210605,-
1912936,64694883,F5147DRAFT_621337,F5147DRAFT_621337,-,-,Unknown,-,galactose oxidase,protein-coding,-,-,-,galactose oxidase,20210605,-
1912936,64694884,F5147DRAFT_621431,F5147DRAFT_621431,-,-,Unknown,-,kinase-like domain-containing protein,protein-coding,-,-,-,kinase-like domain-containing protein,20210605,-
1912936,64694885,F5147DRAFT_621437,F5147DRAFT_621437,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210507,-
1912936,64694886,F5147DRAFT_621448,F5147DRAFT_621448,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694887,F5147DRAFT_621572,F5147DRAFT_621572,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694888,F5147DRAFT_6216,F5147DRAFT_6216,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694889,F5147DRAFT_621602,F5147DRAFT_621602,-,-,Unknown,-,Alpha/Beta hydrolase protein,protein-coding,-,-,-,Alpha/Beta hydrolase protein,20210605,-
1912936,64694890,F5147DRAFT_62170,F5147DRAFT_62170,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
1912936,64694891,F5147DRAFT_621730,F5147DRAFT_621730,-,-,Unknown,-,membrane bound O-acyl transferase family-domain-containing protein,protein-coding,-,-,-,membrane bound O-acyl transferase family-domain-containing protein,20210605,-
1912936,64694892,F5147DRAFT_621898,F5147DRAFT_621898,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210605,-
1912936,64694893,F5147DRAFT_621906,F5147DRAFT_621906,-,-,Unknown,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210507,-
